image_width,image_height,image_dpi,avg_brightness,char_count_estimate,execution_time,load_time
1348,1152,143.99259999999998,232.64424919634027,261,15.045845137909055,9.703068413150808
1872,2282,143.99259999999998,239.79337948605587,1782,27.22262009419501,10.16326571131746
1908,1176,143.99259999999998,225.8150443353442,1622,14.460424122400582,8.834474900426963
300,455,95.9866,55.441369963369965,1,1.4771602349355817,9.90227954586347
1168,650,143.99259999999998,230.58627766069546,1,0.3535217121243477,9.253030198315779
2196,632,143.99259999999998,226.9087725669226,585,5.083174990490079,8.917598368910452
2550,3300,299.9994,225.21009566250743,433,8.13714827876538,8.589130770104626
790,790,72.009,172.28191475725043,8,0.3629233231768012,8.704482248052955
2008,1614,143.99259999999998,229.4599020275774,2373,17.426404639147222,9.52881743821005
1870,1100,143.99259999999998,154.28061983471073,1,0.5206784652546048,9.268153219483793
600,600,72.009,240.70885833333332,71,0.18429907504469156,9.237965086785456
1328,1152,143.99259999999998,232.3179678348812,261,3.6986515494063497,9.84956134048601
1012,582,143.99259999999998,228.20346732678647,236,4.396236293017864,9.043418086754778
2000,1608,143.99259999999998,229.25227083333334,2374,17.465423055924475,9.260552225944897
1658,1180,143.99259999999998,229.4246820756067,698,3.8534563994035125,9.691090443792442
2194,632,143.99259999999998,226.883165249299,585,4.298891036771238,9.009735475294292
845,712,95.9866,99.85413868758727,108,0.8519956823438406,9.575425093683103
1878,1672,143.99259999999998,223.6770538748847,1337,16.851520512253046,8.158996475239595
771,564,96.012,223.9217144539191,3,0.4579798700287938,9.107417866587639
1854,1098,143.99259999999998,225.38647005539147,2294,16.29864840582013,9.264607133654257
1412,1262,143.99259999999998,223.99028757357132,2202,13.007259146310389,9.548087066660324
1024,755,72.009,66.73668641349337,1,0.863608437590301,9.160767206922174
524,881,95.9866,234.2178865099514,15,6.996901638805866,9.023493537058433
3220,762,143.99259999999998,226.40164694087153,985,12.738317797891796,8.651098794614276
1008,878,143.99259999999998,232.14831236215062,385,3.0796526754274964,8.866494007098177
2008,1612,143.99259999999998,229.31932938222297,2373,18.04605128709227,8.576162334531546
1242,934,143.99259999999998,230.47907636712216,1018,3.059359071776271,5.539419968922933
2144,574,143.99259999999998,213.88778423864994,661,3.2016029972583055,4.629921211240192
2478,1568,143.99259999999998,239.02655356936964,2092,19.024168564006686,4.7720662622402115
2008,1612,143.99259999999998,229.31932938222297,2373,18.263445717282593,6.9706867123022676
765,767,119.9896,174.076045368169,13,0.1986310612410307,9.681741440047821
1916,1184,143.99259999999998,226.08907299131073,1615,14.46171762701124,8.400733906154832
572,502,119.9896,114.85434834090212,232,0.18906978890299797,9.29269570702066
2420,572,143.99259999999998,226.5227424435069,1519,11.826557307504117,9.338512993107239
3270,1214,143.99259999999998,189.91419448936716,2496,32.181739654392004,8.517907798600694
2008,1612,143.99259999999998,229.31932938222297,2373,18.45523611176759,7.875713245011866
2008,1614,143.99259999999998,229.4599020275774,2373,17.023667303845286,8.181767306290567
800,533,180.0,74.94353658536585,81,0.13169445469975471,9.243208047933877
865,649,72.0,141.572183082911,70,0.7289962721988559,9.589833710653087
192,192,72.0,220.18622504340277,1,0.22299526259303093,8.829904544788102
960,640,72.0,59.32298014322917,286,0.36536869779229164,9.011633301153779
1806,502,143.99259999999998,229.0010235911283,321,4.1508497055619955,8.849608353960017
852,166,143.99259999999998,38.89677724984445,1,0.31750358548015356,9.326116402633488
673,96,96.012,240.9693845963348,7,1.8850310696288943,9.512372438174983
1726,842,95.9866,245.77881458096513,27,20.478591754101217,8.469400696145991
1776,678,143.99259999999998,232.9833223710436,286,2.691896674223244,8.88791585341096
1696,1094,143.99259999999998,233.51000202649098,711,5.259538843296468,9.4431386894236
2416,1386,143.99259999999998,145.1401192626358,1,1.547842332161963,9.211716941557825
775,775,72.009,177.36716420395422,1,0.35820194333791733,9.930519097484648
1674,1490,143.99259999999998,224.15313118921043,1367,15.26349263265729,8.665826655613879
2352,618,143.99259999999998,213.85457738920812,664,6.169599001295865,8.702398957684636
299,52,95.96119999999999,222.11634936969386,6,0.177269846200943,9.504131371465823
1602,1128,143.99259999999998,230.6832843033088,699,4.171025797724724,9.611281621580323
2348,1488,143.99259999999998,238.91660455706986,2533,23.651978495530784,9.391898393630981
2316,1466,143.99259999999998,239.03008786377228,2773,23.8492370005697,8.838105019492408
2414,546,143.99259999999998,224.69894024782178,1523,12.207232260145247,9.362176852300763
2060,598,143.99259999999998,228.590878981719,586,4.741621104069054,8.737131709232926
913,744,95.9866,251.05898520769296,20,4.558082395233214,8.820811721806725
2188,1346,143.99259999999998,226.54723454422475,1133,15.85666185989976,9.12724101357162
564,279,95.9866,25.008356846894937,1,1.7271630801260471,9.273962222350141
2014,1452,143.99259999999998,229.44578583524145,2068,17.208354505710304,9.8553257783254
909,434,95.9866,218.88216402285389,36,1.3457251880317926,9.376669863549372
1824,808,143.99259999999998,159.20440740620114,3,0.4301355732604861,9.496432848895589
486,442,95.9866,229.75699681582034,9,0.3037266470491886,9.03674042566369
1882,1226,143.99259999999998,234.39823181059336,699,5.514823516830802,9.102510585760077
3072,4080,72.0,98.54900468813828,4649,1.3466474311426282,9.277924387405315
